# 1
#          0       0.1        50  0

 0.05  1088
 0.15  202173
 0.25  1.57529e+06
 0.35  3.88322e+06
 0.45  5.18018e+06
 0.55  4.70919e+06
 0.65  3.29809e+06
 0.75  1.92351e+06
 0.85  982972
 0.95  479974
 1.05  241187
 1.15  134266
 1.25  83381
 1.35  56199
 1.45  40756
 1.55  29952
 1.65  21353
 1.75  22325
 1.85  287709
 1.95  144564
 2.05  64198
 2.15  49101
 2.25  42271
 2.35  36226
 2.45  33028
 2.55  24944
 2.65  20694
 2.75  21309
 2.85  45577
 2.95  129723
 3.05  299245
 3.15  292673
 3.25  137334
 3.35  83593
 3.45  58781
 3.55  69142
 3.65  79740
 3.75  76440
 3.85  61639
 3.95  39510
 4.05  22455
 4.15  10165
 4.25  3672
 4.35  744
 4.45  169
 4.55  249
 4.65  0
 4.75  0
 4.85  0
 4.95  0
