# 1
#          0       0.1        50  0

 0.05  293197
 0.15  1.7951e+06
 0.25  3.71474e+06
 0.35  4.81246e+06
 0.45  4.61977e+06
 0.55  3.489e+06
 0.65  2.20408e+06
 0.75  1.29002e+06
 0.85  765954
 0.95  490390
 1.05  318924
 1.15  208076
 1.25  126584
 1.35  80822
 1.45  59271
 1.55  44030
 1.65  37958
 1.75  33992
 1.85  29925
 1.95  25523
 2.05  19119
 2.15  15295
 2.25  13961
 2.35  15128
 2.45  22396
 2.55  30837
 2.65  40506
 2.75  51972
 2.85  64010
 2.95  69001
 3.05  68495
 3.15  56079
 3.25  41059
 3.35  25541
 3.45  15230
 3.55  7059
 3.65  3263
 3.75  711
 3.85  211
 3.95  95
 4.05  155
 4.15  75
 4.25  0
 4.35  0
 4.45  0
 4.55  0
 4.65  0
 4.75  0
 4.85  0
 4.95  0
