# 1
#          0       0.1        50  0

 0.05  1140
 0.15  205295
 0.25  1.59856e+06
 0.35  3.94406e+06
 0.45  5.26998e+06
 0.55  4.79495e+06
 0.65  3.36076e+06
 0.75  1.96489e+06
 0.85  1.00844e+06
 0.95  497134
 1.05  254611
 1.15  146134
 1.25  95965
 1.35  71803
 1.45  60442
 1.55  52955
 1.65  42967
 1.75  37705
 1.85  32569
 1.95  28794
 2.05  23588
 2.15  22245
 2.25  21046
 2.35  16760
 2.45  16944
 2.55  88621
 2.65  417793
 2.75  339804
 2.85  73721
 2.95  14504
 3.05  8487
 3.15  13388
 3.25  22824
 3.35  35828
 3.45  52863
 3.55  68560
 3.65  79334
 3.75  76379
 3.85  61418
 3.95  39390
 4.05  22373
 4.15  10147
 4.25  3676
 4.35  740
 4.45  161
 4.55  249
 4.65  0
 4.75  0
 4.85  0
 4.95  0
