1 0.0119376
0.975 0.014252
0.95 0.0160146
0.925 0.0165491
0.9 0.0200548
0.875 0.0228048
0.85 0.0243377
0.825 0.0258595
0.8 0.0328087
0.775 0.0334618
0.75 0.0420638
0.725 0.0467103
0.7 0.0518028
0.675 0.0604895
0.65 0.067545
0.625 0.0745627
0.6 0.0845553
0.575 0.111518
0.55 0.126181
0.525 0.147556
0.5 0.163825
0.475 0.19272
0.45 0.240457
0.425 0.266265
0.4 0.258543
0.375 0.300803
0.35 0.334653
0.325 0.343193
0.3 0.385705
0.275 0.43788
0.25 0.51031
0.225 0.368878
0.2 0.232409
0.175 0.151893
0.15 0.0712485
0.125 0.03157
0.1 0.00942272
0.075 0.0026318
0.05 0.000330975
0.025 9.51543e-06
0 0
