1 0.0127813
0.975 0.01546
0.95 0.0152873
0.925 0.0190753
0.9 0.0213059
0.875 0.0205139
0.85 0.021385
0.825 0.0276855
0.8 0.031945
0.775 0.0328717
0.75 0.0371443
0.725 0.0413328
0.7 0.0555703
0.675 0.0583655
0.65 0.066166
0.625 0.0790717
0.6 0.0926688
0.575 0.105247
0.55 0.105401
0.525 0.142177
0.5 0.159797
0.475 0.188644
0.45 0.192998
0.425 0.250285
0.4 0.270553
0.375 0.300013
0.35 0.30087
0.325 0.28696
0.3 0.281515
0.275 0.233632
0.25 0.174339
0.225 0.108404
0.2 0.0602113
0.175 0.033707
0.15 0.0159761
0.125 0.00662003
0.1 0.00186267
0.075 0.000517955
0.05 6.39773e-05
0.025 2.14052e-06
0 0
