1 0.0124236
0.975 0.0132198
0.95 0.015902
0.925 0.014895
0.9 0.0195917
0.875 0.0224732
0.85 0.0223307
0.825 0.025859
0.8 0.0334653
0.775 0.033732
0.75 0.0392258
0.725 0.0454958
0.7 0.0468525
0.675 0.0584925
0.65 0.065606
0.625 0.0755323
0.6 0.0999083
0.575 0.11817
0.55 0.130386
0.525 0.151735
0.5 0.168254
0.475 0.180422
0.45 0.220955
0.425 0.220912
0.4 0.237179
0.375 0.199614
0.35 0.164741
0.325 0.147453
0.3 0.0923248
0.275 0.0660775
0.25 0.0400418
0.225 0.02652
0.2 0.0142241
0.175 0.00735538
0.15 0.00326795
0.125 0.00132868
0.1 0.000479545
0.075 9.9958e-05
0.05 1.33844e-05
0.025 4.53452e-07
0 0
